사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,객실수,건물용도명,건축연면적,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,방송시설유무,보험기관명,보험시작일자,보험종료일자,부대시설내역,시설규모,시설면적,안내소유무,영문상호명,의무실유무,자본금,제작취급품목내용,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
롯데백화점 대구점,20161111,운영중,,,,,,,기타,,"삐에로기차1, 미니트레인1, 트램펄린2",,,,허가유원시설업,Y,,,,,,,Y,,Y,,,,기타,중심상업지역,대구광역시 북구 칠성동2가 302-155번지,"대구광역시 북구 태평로 161, 8층 (칠성동2가, 롯데백화점대구역)",
갤러리 어뮤즈먼트 타가디스코,20110525,폐업 등,20120424,,,,,,,,1종 1대(타가다디스코),,,,허가유원시설업,Y,,,,,1014,1013.51,Y,,Y,,,,기타,중심상업지역,대구광역시 중구 삼덕동1가 15-1번지,"대구광역시 중구 동성로3길 35, 5층 (삼덕동1가)",700739
플레이존,20110603,폐업 등,20141002,,,,,,,,1종 1대(타가다디스코),,,,허가유원시설업,Y,,,,,309,308.58,Y,,Y,,,,,중심상업지역,대구광역시 중구 사일동 59번지 지하1층,대구광역시 중구 동성로 25 (사일동),700040
팡팡e랜드,20110718,폐업 등,20140630,,,,,,,,,,,,허가유원시설업,Y,,,,,437,437.43,Y,,,,,,,중심상업지역,대구광역시 중구 동성로2가 125번지 지하 1층,대구광역시 중구 동성로 17 (동성로2가),700092
프랜드 디스코 팡팡,20120110,폐업 등,20120619,,,,,,,,타가다디스코(디스코팡팡) 1대,,,,허가유원시설업,Y,,,,,524,523.89,Y,,,,,,,,대구광역시 중구 봉산동 2-2번지,대구광역시 중구 동성로2길 9 (봉산동),700822
야시디팡,20130613,운영중,,,,,,,유기장,,타가다 1대,,,,허가유원시설업,Y,,,,,341,340.72,Y,,,,,,,중심상업지역,대구광역시 중구 봉산동 2-2번지,대구광역시 중구 동성로2길 9 (봉산동),700822
플레이존,20141224,휴업 등,,20180222,20190222,,,,근린생활시설,,타가다디스코 1대,,,,허가유원시설업,Y,,,,,285,284.7,Y,,Y,,,,,중심상업지역,대구광역시 중구 봉산동 2-3번지 4층,"대구광역시 중구 동성로2길 21-5, 4층 (봉산동)",700400
라이키즈,20180803,운영중,,,,,,,기타,,"안전성검사대상 3종 3대, 안전성확인검사대상 8종 20대",3,,,허가유원시설업,Y,,,,,1187,1186.6,Y,,Y,,,,,,대구광역시 북구 산격동 1676번지 대구전시컨벤션센터,"대구광역시 북구 엑스코로 10, 대구전시컨벤션센터 1층 3호 (산격동)",
동림기업,20151231,폐업 등,20180524,,,,,,,,"안전성검사 대상기구 1종 1대 , 안전성검사 비대상기구 4종 15대",,,,허가유원시설업,Y,,,,,,,Y,,,,,,기타,자연녹지지역,대구광역시 달성군 화원읍 성산리 274번지,대구광역시 달성군 화원읍 사문진로1길 40-12 (화원동산관리소),
대구시설공단(두류수영장),20150520,휴업 등,,20180820,20190630,,,,,,안전성검사대상 5종 안전성검사비대상 1종,,,,허가유원시설업,Y,,,,,,,Y,,,,,,,,대구광역시 달서구 성당동 169-13번지,대구광역시 달서구 공원순환로 237 (성당동),704915
신천둔치관리소,20170713,폐업 등,20170821,,,,,,,,1,,,,허가유원시설업,,,,,,,,,,,,,,,,대구광역시 중구 대봉동 655-1번지,,
허브랜드 주식회사,20040504,운영중,,,,,,,,,"9종 9대(안전성검사 대상 유기기구), 12종 12대(안전성검사 비대상 유기기구)",,,유원시설업,허가유원시설업,Y,,,,,,,Y,,Y,,,,기타,자연녹지지역,대구광역시 달성군 가창면 용계리 534-1번지,대구광역시 달성군 가창면 가창로 1003,711860
온천 엘리바덴,20121211,운영중,,,,,,,,,"안전성검사 대상 4종(유수풀, 미끄럼틀, 아쿠아플레이,바디슬라이드)",4,,,허가유원시설업,Y,,,,,,,Y,,,,,,학교정화(상대),일반상업지역,대구광역시 달서구 상인동 1558번지,대구광역시 달서구 상인서로 8-6 (상인동),704816
(주)수성랜드,19930709,운영중,,,,,,,,,,,,유원시설업,허가유원시설업,N,,,,,,,N,,N,,,,,,대구광역시 수성구 상동 723번지 외19필지,대구광역시 수성구 용학로 35-5 (상동),706830
(주)수성파크랜드,19940730,운영중,,,,,,,,,,,,유원시설업,허가유원시설업,N,,,,,233,233.35,N,,N,,,,,자연녹지지역,대구광역시 수성구 상동 715번지 외3필지,"대구광역시 수성구 용학로 35-3  (상동,외3필지)",706830
대구광역시 어린이회관,20070307,운영중,,,,,,,,,,,,유원시설업,허가유원시설업,N,,,,,8641,8640.63,N,,N,,,,,,대구광역시 수성구 황금동 626번지,대구광역시 수성구 동대구로 176 (황금동),706852
주라지(ZOORAJI),20161214,운영중,,,,,,,,,"안전성검사 대상 유기기구 2종 2대(회전목마 1대, 무당벌레 모노레일 1대)",,,,허가유원시설업,Y,,,,,3432,3432.44,Y,,,,,,기타,중심상업지역,대구광역시 동구 신천동 1506번지,"대구광역시 동구 동부로 149, 9층 (신천동, 동대구역복합환승센터)",
대성개발,19970110,폐업 등,20041112,,,,,,,,5,,,유원시설업,허가유원시설업,Y,,,,,,,N,,N,,,,,,대구광역시 남구 대명동 산 227-1번지,,705804
동촌랜드,19871230,운영중,,,,,,,,,,,,유원시설업,허가유원시설업,N,,,,,,,N,,N,,,,,,대구광역시 동구 효목동 1113번지,,701843
동촌놀이터,19871230,운영중,,,,,,,,,,,,유원시설업,허가유원시설업,N,,,,,,,N,,N,,,,,,대구광역시 동구 효목동 1114번지,,701843
파크랜드,19880615,운영중,,,,,,,,,"우주비행기, 바이킹, 범퍼카, 회전목마",,,유원시설업,허가유원시설업,N,,,,,,,N,,N,,,,,,대구광역시 동구 효목동 1160번지,대구광역시 동구 효동로2길 68 (효목동),701843
(주)예음기획,20140716,폐업 등,20180727,,,,,,,,"회전목마 1종 운영(티컵 철수,'17.10.30.)",,,,허가유원시설업,Y,,,,,,,Y,,Y,,,,,일반상업지역,대구광역시 동구 봉무동 1545번지,대구광역시 동구 팔공로49길 16 (봉무동),701170

